ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;local_code;coordinates
BR-0001;small_airport;Tatamborá Flying Field;500.0;SA;BR;BR-SP;Ponta da Sela, Ilhabela;;;-23.888048, -45.446824
BR-0002;closed;Alegrete;;SA;BR;BR-RS;;;;-29.800277709960938, -55.76305389404297
BR-0003;closed;Fazenda Cana Brava;;SA;BR;BR-BA;;;;-17.418399810791016, -39.5817985534668
BR-0004;closed;Fazenda Sao Judas Tadeu;;SA;BR;BR-RO;;;;-12.617799758911133, -60.90079879760742
BR-0005;closed;Iguatemi;;SA;BR;BR-MS;;;;-23.63290023803711, -54.62969970703125
BR-0006;closed;Ilha Solteira;974.0;SA;BR;BR-SP;;;;-20.4217, -51.331402
BR-0007;closed;Irati;;SA;BR;BR-PR;;;;-25.503889083862305, -50.65388870239258
BR-0008;closed;Planura;;SA;BR;BR-MG;;;;-20.124399185180664, -48.69969940185547
BR-0009;closed;Ponta do Costa Airport;3.0;SA;BR;BR-RJ;Cabo Frio;;;-22.871901, -42.082802
BR-0010;closed;Senhor Do Bonfim;;SA;BR;BR-BA;;;;-10.47029972076416, -40.18280029296875
BR-0011;closed;Edmar Ferreira;1476.0;SA;BR;BR-GO;Buriti Alegre;;;-18.25749969482422, -48.90800094604492
BR-0012;closed;Maisa Airport;262.0;SA;BR;BR-RN;Mossoró;;;-5.02254, -37.5159
BR-0013;closed;Fazenda Campo Oliva - Nhecolândia;425.0;SA;BR;BR-MS;Corumbá;;;-18.500999, -55.450298
BR-0014;closed;Nova Jacuí Airport;1070.0;SA;BR;BR-RS;Salto do Jacuí;;;-29.118055555599998, -53.215833333300004
BR-0015;closed;Tucumã Airport;1060.0;SA;BR;BR-PA;Tucumã;;;-6.7488, -51.1478
BR-0016;small_airport;Alexânia Municipal Airport;3590.0;SA;BR;BR-GO;Alexânia;;;-16.06185, -48.5294
BR-0017;heliport;Guarulhos - Sao Paulo Airport Marriott Heliport;;SA;BR;BR-SP;;;;-23.4557270361, -46.4917990565
